name,league,club,country,position,price,rating,base_stats,total_stats,popularity,weight,height,pace,shooting,dribling,defending,physicality,weak_foot,skills,card_type
João Cancelo,Premier League,Manchester City,Portugal,RB,183K ,86,487,2329,1242,74,182,89,72,84,86,82,3,4,SIF
Youssef En-Nesyri,LaLiga Santander,Sevilla FC,Morocco,ST,28.3K ,86,453,2136,-726,78,188,85,89,67,86,42,4,3,LaLiga POTM SBC
Alexander Isak,LaLiga Santander,Real Sociedad,Sweden,ST,70K ,86,446,2106,2416,77,192,89,87,73,86,33,5,4,FUT Future Stars
Juan Cuadrado,Serie A TIM,Piemonte Calcio,Colombia,RB,307K ,86,500,2409,1309,72,179,94,78,85,92,80,3,5,MOTM
Rhian Brewster,Premier League,Sheffield Utd,England,ST,267.05K ,86,448,2154,-9806,75,180,91,86,76,85,30,4,3,FUT Future Stars SBC
Alejandro Gómez,LaLiga Santander,Sevilla FC,Argentina,CAM,28K ,86,435,2104,55,68,167,90,79,84,88,39,4,4,CL
Alejandro Gómez,LaLiga Santander,Sevilla FC,Argentina,CAM,28K ,86,435,2104,682,68,167,90,79,84,88,39,4,4,Rare
Presnel Kimpembe,Ligue 1 Conforama,Paris SG,France,CB,184K ,86,446,2075,2033,80,189,79,44,74,74,86,3,2,SIF
Ilkay Gündogan,Premier League,Manchester City,Germany,CM,41.4K ,86,475,2310,5321,80,180,71,80,87,87,75,4,4,PL POTM SBC
Pervis Estupiñán,LaLiga Santander,Villarreal CF,Ecuador,LB,35K ,86,466,2181,1085,73,175,92,40,81,85,84,3,3,FUT Future Stars
Jonathan David,Ligue 1 Conforama,LOSC,Canada,ST,115K ,86,452,2129,2017,77,177,94,86,78,88,31,5,3,FUT Future Stars
Marc Cucurella Saseta,LaLiga Santander,Getafe CF,Spain,LM,0 ,86,498,2387,-34,66,172,86,81,86,86,78,3,4,FUT Future Stars
Marcos Llorente,LaLiga Santander,Atlético de Madrid,Spain,RM,260K ,86,509,2373,2084,74,184,88,81,85,86,83,3,3,SIF
Wilfred Ndidi,Premier League,Leicester City,Nigeria,CDM,51K ,86,463,2228,579,74,183,74,64,72,77,90,4,3,IF
Fofana,Premier League,Leicester City,France,CB,0 ,86,472,2248,3227,76,190,79,65,79,77,86,3,3,FUT Future Stars Obj
Patrick Herrmann,Bundesliga,M'gladbach,Germany,RW,155.2K ,86,452,2174,-3773,70,179,89,83,85,86,38,3,4,ShowDown SBC
Rui Patrício,Premier League,Wolves,Portugal,GK,63K ,86,477,1039,126,84,190,86,84,80,85,57,2,1,IF
Pierre Lees-Melou,Ligue 1 Conforama,OGC Nice,France,CM,70.5K ,86,497,2365,2001,70,186,78,84,86,87,78,4,4,What If
Gerard Moreno Balagueró,LaLiga Santander,Villarreal CF,Spain,ST,39.5K ,86,458,2194,482,77,180,82,87,80,84,49,4,3,Europa MOTM
Mats Köhlert,Eredivisie (NED 1),Willem II,Germany,LW,0 ,86,470,2272,-1687,62,168,91,84,83,84,58,3,3,Squad Foundations
Diego Godín,Serie A TIM,Cagliari,Uruguay,CB,51K ,86,406,1943,64,78,187,60,49,65,63,88,3,2,IF
Ludovic Ajorque,Ligue 1 Conforama,Strasbourg,France,ST,45K ,86,444,2067,-71,82,197,77,88,74,81,35,2,3,TIF
Nicolas Pépé,Premier League,Arsenal,Côte d'Ivoire,RM,66.5K ,86,456,2187,730,73,183,93,84,82,87,37,2,4,IF
Daniel Wass,LaLiga Santander,Valencia CF,Denmark,CM,98.5K ,86,504,2419,929,74,181,82,83,87,85,84,3,3,What If
Vincenzo Grifo,Bundesliga,SC Freiburg,Italy,LM,43.5K ,86,467,2239,386,76,180,89,86,86,88,47,4,4,What If
Kévin Malcuit,Serie A TIM,Fiorentina,France,RB,209.75K ,86,489,2262,-3532,77,178,91,69,81,87,82,3,4,What If SBC
Emiliano Buendía,EFL Championship (ENG 2),Norwich,Argentina,RM,0 ,86,495,2329,702,65,172,89,82,86,90,71,4,4,Squad Foundations
Eran Zahavi,Eredivisie (NED 1),PSV,Israel,ST,39.5K ,86,466,2254,32,71,182,85,89,81,87,44,4,4,SIF
Luke Shaw,Premier League,Manchester Utd,England,LB,110K ,86,482,2296,1194,75,181,86,60,82,84,86,2,3,SIF
Kasper Schmeichel,Premier League,Leicester City,Denmark,GK,44K ,86,478,1027,162,89,189,85,80,85,91,55,3,1,IF
Sol Campbell,Icons,FUT 21 ICONS,England,CB,700K ,85,409,1831,495,89,188,84,43,56,56,85,3,2,Icon
Laurent Blanc,Icons,FUT 21 ICONS,France,CAM,800K ,85,481,2276,926,77,192,83,82,75,84,79,3,2,Icon
Rio Ferdinand,Icons,FUT 21 ICONS,England,CB,1.2M ,85,434,2005,683,87,189,84,48,65,70,84,3,3,Icon
Emmanuel Petit,Icons,FUT 21 ICONS,France,LB,207K ,85,480,2292,260,77,185,80,73,80,78,86,3,3,Icon
Hernán Crespo,Icons,FUT 21 ICONS,Argentina,ST,163K ,85,433,2097,466,76,184,86,86,70,84,37,4,4,Icon
Luis Hernández,Icons,FUT 21 ICONS,Mexico,ST,300K ,85,450,2186,914,68,175,93,84,72,84,49,3,4,Icon
Rui Manuel César Costa,Icons,FUT 21 ICONS,Portugal,CAM,131K ,85,444,2161,6,73,180,84,76,84,83,42,4,4,Icon
Anderson Luís de Souza,Icons,FUT 21 ICONS,Portugal,CAM,129K ,85,438,2123,-156,73,174,78,78,87,85,45,3,4,Icon
Gheorghe Hagi,Icons,FUT 21 ICONS,Romania,CAM,189K ,85,442,2167,566,66,172,86,84,85,87,37,4,4,Icon
Michael Laudrup,Icons,FUT 21 ICONS,Denmark,CF,137K ,85,432,2084,148,76,183,87,74,84,89,35,4,4,Icon
Robert Pirès,Icons,FUT 21 ICONS,France,CAM,125K ,85,430,2112,-199,76,187,72,80,86,82,44,4,4,Icon
Filippo Inzaghi,Icons,FUT 21 ICONS,Italy,ST,128K ,85,401,2027,-688,75,181,74,86,65,79,35,3,3,Icon
Jay-Jay Okocha,Icons,FUT 21 ICONS,Nigeria,RM,280K ,85,435,2103,619,69,173,88,80,79,92,37,4,5,Icon
Gianfranco Zola,Icons,FUT 21 ICONS,Italy,CF,598K ,85,452,2166,1033,65,168,90,85,82,91,41,4,4,Icon
Jari Litmanen,Icons,FUT 21 ICONS,Finland,CF,130K ,85,419,2059,-154,80,181,76,85,84,80,33,4,3,Icon
Hidetoshi Nakata,Icons,FUT 21 ICONS,Japan,CAM,130K ,85,457,2236,159,71,175,84,80,84,85,60,4,4,Icon
Claude Makélélé,Icons,FUT 21 ICONS,France,RM,242K ,85,462,2131,153,70,174,86,64,80,82,70,3,3,Icon
Clarence Seedorf,Icons,FUT 21 ICONS,Netherlands,CM,590K ,85,486,2323,866,76,176,83,81,84,84,71,4,4,Icon
Gennaro Gattuso,Icons,FUT 21 ICONS,Italy,CM,230K ,85,467,2190,538,78,177,73,66,76,74,90,3,2,Icon
Pep Guardiola,Icons,FUT 21 ICONS,Spain,CDM,162K ,85,460,2207,260,74,180,75,65,82,76,85,3,3,Icon
Ronald Koeman,Icons,FUT 21 ICONS,Netherlands,CB,169K ,85,482,2383,165,84,181,67,84,87,76,86,3,3,Icon
Michael Essien,Icons,FUT 21 ICONS,Ghana,CDM,875K ,85,480,2252,831,77,177,83,72,75,78,85,3,3,Icon
Ian Wright,Icons,FUT 21 ICONS,England,ST,181K ,85,436,2096,354,72,175,91,86,66,79,40,4,3,Icon
Serge Gnabry,Bundesliga,FC Bayern,Germany,RM,17.75K ,85,441,2101,-798,75,175,82,83,78,85,43,4,4,Rare
Marquinhos,Ligue 1 Conforama,Paris SG,Brazil,CB,18K ,85,422,2001,526,75,183,72,41,73,71,87,3,3,Rare
Romelu Lukaku,Serie A TIM,Inter,Belgium,ST,17K ,85,437,2048,508,94,191,81,83,76,75,38,4,3,Rare
Thiago,Bundesliga,FC Bayern,Spain,CM,0 ,85,443,2219,-308,70,174,64,72,85,90,70,3,5,Rare
Kai Havertz,Premier League,Chelsea,Germany,CAM,17K ,85,441,2095,2535,83,188,84,81,79,85,45,4,4,Rare
Luis Alberto,Serie A TIM,Lazio,Spain,CAM,16.5K ,85,438,2083,126,74,183,74,76,86,85,58,3,4,Rare
Riyad Mahrez,Premier League,Manchester City,Algeria,RW,24K ,85,430,2064,1460,67,179,83,79,81,90,38,4,5,Rare
Memphis Depay,Ligue 1 Conforama,OL,Netherlands,CF,16K ,85,445,2123,1618,78,176,86,83,81,83,32,3,5,Rare
Gianluigi Donnarumma,Serie A TIM,Milan,Italy,GK,16K ,85,467,980,360,90,196,89,81,76,89,49,3,1,Rare
Hakim Ziyech,Premier League,Chelsea,Morocco,CAM,17K ,85,442,2124,1118,65,181,80,76,87,83,50,2,5,Rare
Marco Reus,Bundesliga,Dortmund,Germany,CAM,16.5K ,85,443,2171,1183,71,180,80,86,84,85,45,4,4,Rare
Timo Werner,Premier League,Chelsea,Germany,ST,18.25K ,85,435,2058,5069,76,180,91,85,69,84,35,4,3,Rare
Sergej Milinkovic-Savic,Serie A TIM,Lazio,Serbia,CM,16.5K ,85,475,2262,304,76,191,69,79,80,83,79,4,4,Rare
Georginio Wijnaldum,Premier League,Liverpool,Netherlands,CM,16.75K ,85,475,2299,3880,69,175,76,75,81,86,78,4,4,Rare
Matthijs de Ligt,Serie A TIM,Piemonte Calcio,Netherlands,CB,17.5K ,85,435,2014,676,89,189,72,59,66,69,85,4,2,Rare
Thiago Silva,Premier League,Chelsea,Brazil,CB,17.25K ,85,421,2078,331,79,183,59,54,72,72,86,3,2,Rare
Ricardo Pereira,Premier League,Leicester City,Portugal,RB,16.75K ,85,467,2207,565,70,175,83,66,79,82,81,4,3,Rare
Lorenzo Insigne,Serie A TIM,Napoli,Italy,LW,22.5K ,85,420,2039,718,59,163,88,78,83,91,36,4,4,Rare
Miralem Pjanic,LaLiga Santander,FC Barcelona,Bosnia and Herzegovina,CM,16K ,85,449,2225,81,72,178,67,68,87,85,75,4,3,Rare
Marcus Rashford,Premier League,Manchester Utd,England,LM,27.75K ,85,460,2178,13142,70,186,91,83,78,85,45,4,5,Rare
Leroy Sané,Bundesliga,FC Bayern,Germany,LM,17K ,85,443,2114,2141,75,183,93,81,79,85,38,3,4,Rare
Parejo,LaLiga Santander,Villarreal CF,Spain,CM,16K ,85,444,2207,69,74,182,50,83,90,81,71,4,3,Rare
Milan Škriniar,Serie A TIM,Inter,Slovakia,CB,16.75K ,85,403,1839,158,80,188,69,41,59,66,87,4,2,Rare
Koke,LaLiga Santander,Atlético de Madrid,Spain,CM,16.25K ,85,464,2235,209,77,176,67,75,85,81,76,4,3,Rare
Dries Mertens,Serie A TIM,Napoli,Belgium,CF,16K ,85,423,2065,1692,61,169,86,82,80,89,35,4,4,Rare
Bernd Leno,Premier League,Arsenal,Germany,GK,16K ,85,473,1020,459,82,190,85,83,80,86,55,3,1,Rare
Clément Lenglet,LaLiga Santander,FC Barcelona,France,CB,18.5K ,85,420,1964,1655,81,186,74,45,67,66,87,4,2,Rare
Leonardo Bonucci,Serie A TIM,Piemonte Calcio,Italy,CB,17K ,85,422,2040,58,85,190,60,58,69,71,87,4,2,Rare
Frenkie de Jong,LaLiga Santander,FC Barcelona,Netherlands,CM,17.5K ,85,468,2226,2993,74,180,80,64,84,87,76,3,4,Rare
Rodrigo,Premier League,Manchester City,Spain,CDM,17K ,85,449,2131,231,82,191,65,68,77,77,82,4,3,Rare
Péter Gulácsi,Bundesliga,RB Leipzig,Hungary,GK,15.5K ,85,464,939,303,86,191,84,85,82,86,43,2,1,Rare
Toby Alderweireld,Premier League,Spurs,Belgium,CB,16.75K ,85,424,2051,141,81,186,63,55,72,68,87,3,2,Rare
Diego Godín,Serie A TIM,Inter,Uruguay,CB,0 ,85,397,1906,-34,78,187,57,48,64,62,87,3,2,Rare
Mauro Icardi,Ligue 1 Conforama,Paris SG,Argentina,ST,16.5K ,85,405,1986,-81,75,181,73,85,65,78,36,4,3,Rare
Kyle Walker,Premier League,Manchester City,England,RB,35K ,85,470,2207,3176,70,183,92,63,76,77,80,2,3,Rare
Alex Sandro,Serie A TIM,Piemonte Calcio,Brazil,LB,17.5K ,85,465,2218,378,80,180,81,65,77,80,81,3,3,Rare
Christian Eriksen,Serie A TIM,Inter,Denmark,CAM,16.25K ,85,439,2133,311,76,181,72,81,88,82,53,5,4,Rare
Fernando Torres,Icons,FUT 21 ICONS,Spain,ST,289K ,85,442,2133,1071,79,186,87,83,71,85,41,4,4,Icon
Davor Šuker,Icons,FUT 21 ICONS,Croatia,ST,204K ,85,452,2205,958,77,183,86,88,78,87,40,4,4,Icon
Ashley Cole,Icons,FUT 21 ICONS,England,LB,350K ,85,468,2243,357,64,176,91,65,78,80,83,2,3,Icon
Nemanja Vidić,Icons,FUT 21 ICONS,Serbia,CB,329K ,85,411,1944,2089,84,190,77,46,55,60,86,2,2,Icon
Gareth Bale,Premier League,Spurs,Wales,RW,116K ,85,481,2327,1782,82,185,90,87,85,83,60,3,4,OTW
Thiago,Premier League,Liverpool,Spain,CM,38K ,85,443,2219,608,70,174,64,72,85,90,70,3,5,OTW
Martin Ødegaard,LaLiga Santander,Real Madrid,Norway,CAM,21.75K ,85,457,2173,2024,68,178,80,79,87,86,60,2,5,OTW
Diego Godín,Serie A TIM,Cagliari,Uruguay,CB,16.25K ,85,397,1906,115,78,187,57,48,64,62,87,3,2,Rare
Alexandre Lacazette,Premier League,Arsenal,France,ST,0 ,85,453,2172,881,77,176,80,84,78,86,47,4,4,Objectives
Marcel Sabitzer,Bundesliga,RB Leipzig,Austria,CM,0 ,85,480,2274,1134,76,178,82,85,82,82,68,4,3,Objectives
Bernat,Ligue 1 Conforama,Paris SG,Spain,LB,0 ,85,465,2205,290,67,170,84,65,81,85,80,3,4,Objectives
Thiago,Premier League,Liverpool,Spain,CM,17K ,85,443,2219,801,70,174,64,72,85,90,70,3,5,Rare
Martin Ødegaard,LaLiga Santander,Real Madrid,Norway,RM,61.5K ,85,457,2173,268,68,178,80,79,87,86,60,2,5,IF
Leroy Sané,Bundesliga,FC Bayern,Germany,LM,126K ,85,443,2114,704,75,183,93,81,79,85,38,3,4,OTW
Arturo Vidal,Serie A TIM,Inter,Chile,CM,38K ,85,483,2369,507,75,180,67,82,81,80,85,4,3,OTW
Kai Havertz,Premier League,Chelsea,Germany,CAM,126K ,85,441,2095,525,83,188,84,81,79,85,45,4,4,OTW
Thiago Silva,Premier League,Chelsea,Brazil,CB,17.5K ,85,421,2078,30,79,183,59,54,72,72,86,3,2,CL
Milan Škriniar,Serie A TIM,Inter,Slovakia,CB,17K ,85,403,1839,-1,80,188,69,41,59,66,87,4,2,CL
Marcus Rashford,Premier League,Manchester Utd,England,LM,29K ,85,460,2178,471,70,186,91,83,78,85,45,4,5,CL
Christian Eriksen,Serie A TIM,Inter,Denmark,CAM,16.5K ,85,439,2133,21,76,181,72,81,88,82,53,5,4,CL
Romelu Lukaku,Serie A TIM,Inter,Belgium,ST,17.5K ,85,437,2048,42,94,191,81,83,76,75,38,4,3,CL
Sergej Milinkovic-Savic,Serie A TIM,Lazio,Serbia,CM,16.75K ,85,475,2262,32,76,191,69,79,80,83,79,4,4,CL
Péter Gulácsi,Bundesliga,RB Leipzig,Hungary,GK,16K ,85,464,939,22,86,191,84,85,82,86,43,2,1,CL
Luis Alberto,Serie A TIM,Lazio,Spain,CAM,16.5K ,85,438,2083,9,74,183,74,76,86,85,58,3,4,CL
Georginio Wijnaldum,Premier League,Liverpool,Netherlands,CM,17K ,85,475,2299,204,69,175,76,75,81,86,78,4,4,CL
Thiago,Premier League,Liverpool,Spain,CM,16.5K ,85,443,2219,35,70,174,64,72,85,90,70,3,5,CL
Marco Reus,Bundesliga,Dortmund,Germany,CAM,17K ,85,443,2171,43,71,180,80,86,84,85,45,4,4,CL
Leroy Sané,Bundesliga,FC Bayern,Germany,LM,17K ,85,443,2114,60,75,183,93,81,79,85,38,3,4,CL
Serge Gnabry,Bundesliga,FC Bayern,Germany,RM,17.5K ,85,441,2101,6,75,175,82,83,78,85,43,4,4,CL
Kai Havertz,Premier League,Chelsea,Germany,CAM,17K ,85,441,2095,95,83,188,84,81,79,85,45,4,4,CL
Timo Werner,Premier League,Chelsea,Germany,ST,18.5K ,85,435,2058,166,76,180,91,85,69,84,35,4,3,CL
Hakim Ziyech,Premier League,Chelsea,Morocco,CAM,16.75K ,85,442,2124,81,65,181,80,76,87,83,50,2,5,CL
Koke,LaLiga Santander,Atlético de Madrid,Spain,CM,16.5K ,85,464,2235,21,77,176,67,75,85,81,76,4,3,CL
Clément Lenglet,LaLiga Santander,FC Barcelona,France,CB,19K ,85,420,1964,90,81,186,74,45,67,66,87,4,2,CL
Frenkie de Jong,LaLiga Santander,FC Barcelona,Netherlands,CM,17.25K ,85,468,2226,163,74,180,80,64,84,87,76,3,4,CL
Miralem Pjanic,LaLiga Santander,FC Barcelona,Bosnia and Herzegovina,CM,16.25K ,85,449,2225,18,72,178,67,68,87,85,75,4,3,CL
Alex Sandro,Serie A TIM,Piemonte Calcio,Brazil,LB,17.75K ,85,465,2218,14,80,180,81,65,77,80,81,3,3,CL
Matthijs de Ligt,Serie A TIM,Piemonte Calcio,Netherlands,CB,17.5K ,85,435,2014,10,89,189,72,59,66,69,85,4,2,CL
Leonardo Bonucci,Serie A TIM,Piemonte Calcio,Italy,CB,17.5K ,85,422,2040,7,85,190,60,58,69,71,87,4,2,CL
Mauro Icardi,Ligue 1 Conforama,Paris SG,Argentina,ST,16.5K ,85,405,1986,-40,75,181,73,85,65,78,36,4,3,CL
Marquinhos,Ligue 1 Conforama,Paris SG,Brazil,CB,18K ,85,422,2001,30,75,183,72,41,73,71,87,3,3,CL
Riyad Mahrez,Premier League,Manchester City,Algeria,RW,24K ,85,430,2064,81,67,179,83,79,81,90,38,4,5,CL
Rodrigo,Premier League,Manchester City,Spain,CDM,16.5K ,85,449,2131,20,82,191,65,68,77,77,82,4,3,CL
Kyle Walker,Premier League,Manchester City,England,RB,37.25K ,85,470,2207,157,70,183,92,63,76,77,80,2,3,CL
Zlatan Ibrahimovic,Serie A TIM,Milan,Sweden,ST,52K ,85,425,2094,1438,95,195,58,90,80,81,36,4,5,IF
Radja Nainggolan,Serie A TIM,Inter,Belgium,CAM,255K ,85,490,2323,1338,65,176,85,83,82,85,72,3,3,Halloween
Lucas Ocampos,LaLiga Santander,Sevilla FC,Argentina,RW,46K ,85,486,2332,664,84,188,86,86,88,85,65,3,4,Halloween
Joe Gomez,Premier League,Liverpool,England,CB,583K ,85,424,1913,2505,77,188,84,32,69,72,85,3,3,IF
Federico Valverde,LaLiga Santander,Real Madrid,Uruguay,CM,108K ,85,488,2276,3509,78,182,87,77,81,82,79,3,3,IF
Wilfried Zaha,Premier League,Crystal Palace,Côte d'Ivoire,ST,96K ,85,446,2038,2611,66,180,92,78,74,89,36,3,5,IF
Lopes,Ligue 1 Conforama,OL,Portugal,GK,105K ,85,481,1049,217,81,184,87,82,76,88,65,2,1,IF
Paulinho,Chinese FA Super L. (CHN 1),Guangzhou,Brazil,CM,47.75K ,85,491,2367,3468,80,183,74,84,80,84,82,4,4,IF
Karim Bellarabi,Bundesliga,Leverkusen,Germany,RM,0 ,85,451,2140,478,81,184,87,88,77,86,37,3,4,Halloween SBC
Karim Bellarabi,Bundesliga,Leverkusen,Germany,RM,0 ,85,450,2133,736,81,184,87,80,77,93,37,3,4,Halloween SBC
Lukáš Hrádecký,Bundesliga,Leverkusen,Finland,GK,68K ,85,455,847,185,82,192,87,80,71,90,42,3,1,IF
Lukas Klostermann,Bundesliga,RB Leipzig,Germany,CB,369K ,85,465,2095,3626,88,187,87,56,75,78,87,3,2,UCL Live
Koen Casteels,Bundesliga,VfL Wolfsburg,Belgium,GK,107K ,85,471,933,257,86,197,85,84,83,87,47,2,1,IF
Hirving Lozano,Serie A TIM,Napoli,Mexico,RM,85K ,85,460,2184,2660,70,175,97,82,79,86,46,3,4,SIF
Sergi Roberto Carnicer,LaLiga Santander,FC Barcelona,Spain,RB,63K ,85,464,2178,12,68,178,79,65,85,80,80,3,4,IF
Arturo Vidal,Serie A TIM,Inter,Chile,CM,50K ,85,483,2369,407,75,180,67,82,81,80,85,4,3,IF
Achraf Hakimi,Serie A TIM,Inter,Morocco,RM,50K ,85,483,2221,319,73,181,95,73,79,84,74,2,3,IF
Naby Keïta,Premier League,Liverpool,Guinea,CM,0 ,85,466,2232,-1657,64,172,76,78,81,91,70,4,4,Objectives
Héctor Bellerín Moruno,Premier League,Arsenal,Spain,RB,0 ,85,465,2162,6681,74,178,93,56,76,84,82,2,3,Obj League Player
Fernando Reges,LaLiga Santander,Sevilla FC,Brazil,CDM,58K ,85,454,2157,266,76,183,68,64,78,75,85,3,3,IF
Romain Alessandrini,Chinese FA Super L. (CHN 1),Qingdao Huanghai,France,RM,128.25K ,85,477,2290,6295,70,173,92,85,82,87,55,4,4,Flashback SBC
Alessio Romagnoli,Serie A TIM,Milan,Italy,CB,48K ,85,413,1871,212,78,188,72,42,59,72,87,3,2,IF
Lucas,Premier League,Spurs,Brazil,RM,255K ,85,454,2197,610,70,174,94,81,75,89,45,4,4,eTOTGS SBC
Diego Carlos Santos Silva,LaLiga Santander,Sevilla FC,Brazil,CB,127K ,85,435,2032,1566,86,185,80,49,66,71,84,4,3,TOTGS
Francesco Acerbi,Serie A TIM,Lazio,Italy,CB,19.75K ,85,423,1979,-195,88,192,65,52,65,67,88,3,3,TOTGS
Theo Hernández,Serie A TIM,Milan,France,LB,287K ,85,495,2269,1655,82,184,96,72,80,84,81,3,3,eTOTGS
Alex Oxlade-Chamberlain,Premier League,Liverpool,England,CM,500.8K ,85,489,2325,-13868,70,175,85,84,83,86,72,4,4,Player Moments SBC
Kieran Trippier,LaLiga Santander,Atlético de Madrid,England,RWB,53.5K ,85,457,2262,-36,71,173,75,62,85,79,82,4,3,IF
Lucas Torreira,LaLiga Santander,Atlético de Madrid,Uruguay,LB,27K ,85,480,2260,1713,65,168,87,65,79,83,83,3,3,FUT Freeze
Yannick Bolasie,Premier League,Everton,Congo DR,CAM,0 ,85,458,2174,4495,84,185,86,85,80,84,42,3,5,FUT Freeze Obj
Cristian Ansaldi,Serie A TIM,Torino,Argentina,RB,128.85K ,85,484,2289,-808,76,181,87,65,84,84,84,5,4,FUT Freeze SBC
Aaron Wan-Bissaka,Premier League,Manchester Utd,England,CB,403.7K ,85,454,2117,-12048,72,183,81,51,74,80,85,2,4,FUT Freeze SBC
Matteo Politano,Serie A TIM,Napoli,Italy,ST,138.8K ,85,449,2170,4243,67,171,89,86,82,88,44,4,4,FUT Freeze SBC
Henrikh Mkhitaryan,Serie A TIM,Roma FC,Armenia,LF,50K ,85,469,2290,344,75,177,83,83,85,87,61,5,4,SIF
Kenny Lala,Ligue 1 Conforama,Strasbourg,France,RM,129.9K ,85,487,2320,-4345,78,178,90,83,85,85,62,3,3,FUT Freeze SBC
Konrad Laimer,Bundesliga,RB Leipzig,Austria,RB,148.8K ,85,495,2293,1253,72,180,91,72,83,81,83,3,3,FUT Freeze SBC
Robin Gosens,Serie A TIM,Atalanta,Germany,CB,136K ,85,483,2277,2880,76,183,83,70,82,81,83,3,3,FUT Freeze
Ander Capa Rodríguez,LaLiga Santander,Athletic Club,Spain,CDM,0 ,85,493,2323,6399,75,175,86,74,82,81,81,3,3,FUT Freeze
Gerard Moreno Balagueró,LaLiga Santander,Villarreal CF,Spain,RM,66.5K ,85,450,2158,-80,77,180,80,86,79,82,48,4,3,IF
Francis Coquelin,LaLiga Santander,Villarreal CF,France,CM,238.85K ,85,487,2285,210,74,176,82,73,81,83,83,3,3,ShowDown SBC
João Cancelo,Premier League,Manchester City,Portugal,RM,90K ,85,478,2285,666,74,182,88,70,82,85,80,3,4,IF
Emerson Leite De Souza,LaLiga Santander,Real Betis,Brazil,RB,0 ,85,490,2280,1815,79,181,92,66,80,84,85,3,3,Objectives
Donyell Malen,Eredivisie (NED 1),PSV,Netherlands,ST,75.2K ,85,457,2144,2675,78,179,96,84,78,87,33,3,4,ShowDown SBC
Duván Zapata,Serie A TIM,Atalanta,Colombia,ST,56.5K ,85,429,1998,50,88,189,78,85,62,80,39,4,3,IF
Danny Ings,Premier League,Southampton,England,ST,26K ,85,441,2113,1169,73,178,84,87,74,84,36,4,3,Headliners
Gonçalo Manuel Ganchinho Guedes,LaLiga Santander,Valencia CF,Portugal,CF,0 ,85,460,2190,2560,68,179,90,85,81,85,43,4,4,League Player
Martin Hinteregger,Bundesliga,Frankfurt,Austria,CB,56.5K ,85,465,2247,151,83,184,76,75,73,68,86,3,2,SIF
José Luís Gayà Peña,LaLiga Santander,Valencia CF,Spain,LB,51K ,85,467,2193,235,66,172,86,63,82,83,81,3,4,IF
Filip Kostic,Bundesliga,Frankfurt,Serbia,LM,50.5K ,85,489,2303,373,82,184,90,80,82,85,70,2,3,IF
Diogo Dalot,Serie A TIM,Milan,Portugal,LB,31.5K ,85,488,2293,1958,76,183,88,68,78,85,85,3,3,FUT Future Stars
Reinier,Bundesliga,Dortmund,Brazil,ST,0 ,85,479,2280,993,72,185,89,84,85,87,54,4,4,FUT Future Stars Obj
Diogo Dalot,Serie A TIM,Milan,Portugal,RB,33.75K ,85,492,2321,964,76,183,88,70,81,87,83,3,3,FUT Future Stars
Diego Lainez,LaLiga Santander,Real Betis,Mexico,LM,29K ,85,475,2259,1439,58,168,93,85,82,88,52,3,4,FUT Future Stars
Óscar Rodríguez Arnaiz,LaLiga Santander,Sevilla FC,Spain,CAM,20.75K ,85,468,2237,-1579,68,174,80,85,83,88,55,3,3,FUT Future Stars
Luca Waldschmidt,Liga NOS (POR 1),SL Benfica,Germany,CF,0 ,85,444,2143,790,74,181,87,87,82,84,31,4,4,Objectives
Marcos Senesi,Eredivisie (NED 1),Feyenoord,Argentina,CB,0 ,85,438,1971,1268,80,185,80,38,73,75,86,3,2,Objectives
Mousa Dembélé,Chinese FA Super L. (CHN 1),Guangzhou R&F,Belgium,CM,0 ,85,495,2353,549,85,185,78,76,82,89,83,3,4,Objectives
Gabriel Jesus,Premier League,Manchester City,Brazil,ST,245K ,85,455,2183,1,73,175,87,85,76,89,44,3,4,MOTM
Éver Banega,MBS Pro League (SAU 1),Al Shabab,Argentina,CAM,49K ,85,467,2277,-176,71,174,68,77,87,85,78,4,4,IF
John Stones,Premier League,Manchester City,England,CB,85K ,85,444,2058,476,70,188,75,42,77,78,88,4,3,SIF
Lucas Vázquez,LaLiga Santander,Real Madrid,Spain,RB,49.5K ,85,478,2291,402,70,173,87,81,85,85,65,4,4,SIF
Dele Alli,Premier League,Spurs,England,CAM,36.5K ,85,480,2312,562,80,188,75,83,83,85,73,3,4,Europa MOTM
Danilo Pereira Da Silva,Eredivisie (NED 1),FC Twente,Brazil,ST,0 ,85,443,2135,-1547,66,174,89,85,73,86,35,3,3,Squad Foundations
Gareth Bale,Premier League,Spurs,Wales,RM,71.5K ,85,481,2327,1138,82,185,90,87,85,83,60,3,4,IF
Krépin Diatta,Ligue 1 Conforama,AS Monaco,Senegal,RM,153K ,85,480,2259,3065,69,175,97,86,80,88,51,4,4,What If
Adam Armstrong,EFL Championship (ENG 2),Blackburn Rovers,England,ST,104.85K ,85,475,2297,794,69,168,94,85,80,87,47,3,4,What If SBC
Jefferson Lerma,EFL Championship (ENG 2),AFC Bournemouth,Colombia,CDM,0 ,85,482,2309,380,70,179,78,72,81,81,83,4,3,Squad Foundations
Erling Haaland,Bundesliga,Dortmund,Norway,ST,9.3K ,84,438,2058,1918,88,194,84,87,63,76,43,3,3,Rare
Wissam Ben Yedder,Ligue 1 Conforama,AS Monaco,France,ST,8.3K ,84,433,2122,3012,68,170,84,83,77,87,39,5,4,Rare
